x0,x1,x2,x3,x4,x5,x6,x7,label
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,class_a
0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,class_b
0.2,0.4,0.6,0.8,0.7,0.5,0.3,0.1,class_a
0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,class_b
0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,class_a
0.6,0.7,0.8,0.9,0.8,0.7,0.6,0.5,class_b
0.3,0.2,0.1,0.2,0.3,0.4,0.5,0.6,class_a
0.7,0.8,0.9,0.8,0.7,0.6,0.5,0.4,class_b
0.4,0.3,0.2,0.1,0.2,0.3,0.4,0.5,class_a
0.5,0.6,0.7,0.8,0.9,0.8,0.7,0.6,class_b
0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,class_a
0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,class_b
0.1,0.3,0.5,0.7,0.9,0.7,0.5,0.3,class_a
0.8,0.6,0.4,0.2,0.1,0.3,0.5,0.7,class_b
0.3,0.3,0.3,0.3,0.6,0.6,0.6,0.6,class_a
0.7,0.7,0.7,0.7,0.4,0.4,0.4,0.4,class_b
0.2,0.1,0.4,0.3,0.6,0.5,0.8,0.7,class_a
0.8,0.9,0.6,0.7,0.4,0.5,0.2,0.3,class_b
0.5,0.4,0.3,0.2,0.1,0.2,0.3,0.4,class_a
0.5,0.6,0.7,0.8,0.9,0.8,0.7,0.5,class_b
